# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128 256
1.468 None 0   None 0   None 0   None 0   1.32328797851 0
1.474 None 0   None 0   None 0   None 0   1.15157678707 0
1.48 None 0   None 0   None 0   0.862250915211 0   1.10109837452 0
1.486 None 0   None 0   None 0   None 0   0.905591025582 0
1.49 None 0   None 0   0.87342323927 0   None 0   None 0
1.492 None 0   None 0   None 0   None 0   0.767789789747 0
1.498 None 0   None 0   None 0   None 0   1.0737151716 0
1.5 None 0   None 0   None 0   0.700496207244 0   0.976406309856 0
1.504 None 0   None 0   None 0   None 0   1.16859768482 0
1.508 None 0   None 0   None 0   None 0   1.08064673012 0
1.512 None 0   None 0   None 0   None 0   1.04727242431 0
1.516 None 0   None 0   None 0   None 0   0.990100293839 0
1.52 None 0   None 0   0.757689777163 0   1.10106992961 0   1.24258897136 0
1.524 None 0   None 0   None 0   None 0   1.33036083372 0
1.528 None 0   None 0   None 0   None 0   1.19525664362 0
1.53 None 0   0.68677418457 0   None 0   None 0   None 0
1.532 None 0   None 0   None 0   None 0   0.936176314946 0
1.536 None 0   None 0   None 0   None 0   0.979960850949 0
1.54 None 0   None 0   None 0   1.16821356194 0   0.892125439674 0
1.544 None 0   None 0   None 0   None 0   0.916330816039 0
1.548 None 0   None 0   None 0   None 0   0.911819050772 0
1.55 None 0   None 0   0.876931912415 0   None 0   None 0
1.552 None 0   None 0   None 0   None 0   0.942739177989 0
1.556 None 0   None 0   None 0   None 0   1.15175701185 0
1.56 None 0   None 0   None 0   0.885345887279 0   0.720639527815 0
1.564 None 0   None 0   None 0   None 0   0.707015338658 0
1.568 None 0   None 0   None 0   None 0   0.827899503344 0
1.572 None 0   None 0   None 0   None 0   0.761259424192 0
1.576 None 0   None 0   None 0   None 0   1.33996037981 0
1.58 None 0   None 0   0.956189503938 0   1.03123261978 0   1.38700134505 0
1.584 None 0   None 0   None 0   None 0   1.17231996653 0
1.588 None 0   None 0   None 0   None 0   1.13092640344 0
1.592 None 0   None 0   None 0   None 0   1.46805261288 0
1.596 None 0   None 0   None 0   None 0   1.19886100225 0
1.6 0.867687658865 0   None 0   None 0   0.945381194514 0   1.11093539192 0
1.604 None 0   None 0   None 0   None 0   0.8550377248 0
1.608 None 0   None 0   None 0   None 0   1.36379265093 0
1.61 None 0   None 0   1.00959861085 0   None 0   None 0
1.612 None 0   None 0   None 0   None 0   1.31295793414 0
1.616 None 0   None 0   None 0   None 0   1.27589338963 0
1.62 None 0   0.996695484583 0   None 0   1.0580625046 0   1.21287537063 0
1.624 None 0   None 0   None 0   None 0   1.21932912337 0
1.628 None 0   None 0   None 0   None 0   1.18167770399 0
1.632 None 0   None 0   None 0   None 0   0.892468801439 0
1.636 None 0   None 0   None 0   None 0   0.838716284376 0
1.64 None 0   None 0   1.02828820061 0   0.673972378464 0   0.751197959481 0
1.644 None 0   None 0   None 0   None 0   0.737248210873 0
1.648 None 0   None 0   None 0   None 0   0.861558081676 0
1.652 None 0   None 0   None 0   None 0   1.07414629833 0
1.656 None 0   None 0   None 0   None 0   1.10422906242 0
1.66 None 0   None 0   None 0   1.06555263723 0   0.821724747755 0
1.664 None 0   None 0   None 0   None 0   1.05411570604 0
1.668 None 0   None 0   None 0   None 0   1.02023450442 0
1.67 None 0   None 0   1.25634176655 0   None 0   None 0
1.672 None 0   None 0   None 0   None 0   1.11073856013 0
1.676 None 0   None 0   None 0   None 0   1.12080708179 0
1.68 None 0   None 0   None 0   0.881181961651 0   1.01074191046 0
1.684 None 0   None 0   None 0   None 0   1.19807433148 0
1.688 None 0   None 0   None 0   None 0   0.737151412756 0
1.692 None 0   None 0   None 0   None 0   0.811623516434 0
1.696 None 0   None 0   None 0   None 0   1.21483943576 0
1.7 None 0   None 0   0.864528363396 0   0.625503157726 0   1.03434598452 0
1.704 None 0   None 0   None 0   None 0   1.29581185494 0
1.708 None 0   None 0   None 0   None 0   0.80817390995 0
1.71 None 0   1.04067234842 0   None 0   None 0   None 0
1.712 None 0   None 0   None 0   None 0   0.744488739871 0
1.716 None 0   None 0   None 0   None 0   0.971997721742 0
1.72 None 0   None 0   None 0   1.03580360267 0   0.818383440643 0
1.724 None 0   None 0   None 0   None 0   0.986729088816 0
1.728 None 0   None 0   None 0   None 0   1.01756520063 0
1.73 None 0   None 0   0.985590100758 0   None 0   None 0
1.732 None 0   None 0   None 0   None 0   0.885560915151 0
1.736 None 0   None 0   None 0   None 0   0.848714659103 0
1.74 None 0   None 0   None 0   1.0405195341 0   0.82824432809 0
