# Je drei Spalten beschreiben ein Sigma: Temperatur, Wert, Fehler
# Sigma:  0.0 0.03 0.05 0.08 0.1 0.12 0.15 0.2 0.25 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0 1.1 1.2
0.1 1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0  
0.95 0.999531833488 3.52802036951e-07   0.99953014145 3.26459227923e-07   0.999526857272 3.21848918508e-07   0.999484162582 6.4374932765e-07   0.999224360486 1.87367413076e-06   0.998476658508 4.09522251201e-06   0.996279129232 9.3544827606e-06   0.991193461302 1.79676933238e-05   0.986719754688 2.39938263997e-05   0.983438115802 3.03592908309e-05   0.978173721328 4.25922065879e-05   0.973730202154 5.58560841891e-05   0.970197507228 6.39678921743e-05   0.967548451366 7.82629504521e-05   0.96587640677 7.12421332178e-05   0.964710002488 8.16093917953e-05   0.963765030778 7.67671457868e-05   0.96315287867 8.37780986357e-05   0.962731995068 8.08057513275e-05  
0.96 None None   None None   None None   None None   None None   None None   None None   0.99064277344 1.67068486974e-05   0.985862129442 2.72084150741e-05   0.98233721887 3.12568489547e-05   0.976674942682 4.41652455027e-05   0.971880560026 6.00827461524e-05   0.968066321878 7.92110286446e-05   0.965186703856 8.77101411132e-05   0.963393418252 8.03717167908e-05   0.96212544845 8.66740413781e-05   0.961079063276 7.92023070823e-05   0.96044051332 8.80012422277e-05   0.959961450144 9.05502796796e-05  
0.97 None None   None None   None None   None None   None None   None None   None None   0.99005992988 1.98008555673e-05   0.984966405906 2.9775712979e-05   0.981190662918 3.22455103206e-05   0.97508502185 5.34372603361e-05   0.969913166906 6.72695080668e-05   0.965795816866 7.09310682374e-05   0.962680482432 8.82631018161e-05   0.96071404039 8.84783169968e-05   0.959340604326 0.000100236729907   0.958228322828 8.47819306987e-05   0.957513430532 9.49924545187e-05   0.95700685701 0.000101679091431  
0.98 0.999388669314 4.06055206243e-07   0.999386939718 3.65709648131e-07   0.99938185046 3.98277986531e-07   0.999330245788 6.64542529624e-07   0.99901623615 2.06633495068e-06   0.998124616398 4.9604185864e-06   0.995518409924 1.21386507733e-05   0.98945572196 2.27544487494e-05   0.984019680336 2.94184138488e-05   0.9799653832 3.39019393106e-05   0.973403500312 5.22855651454e-05   0.967813289082 6.38919348362e-05   0.963361748106 7.81084575291e-05   0.959985550032 9.97685904257e-05   0.957872072808 9.02517720384e-05   0.956355545338 0.00010525324041   0.955146416698 8.00444971805e-05   0.954373384798 9.97448088258e-05   0.95380368605 0.00010594178688  
0.99 None None   None None   None None   None None   None None   None None   None None   0.988817239212 2.24067510979e-05   0.983023331076 3.37526369334e-05   0.978683940944 3.54999018063e-05   0.971619635094 5.23013370847e-05   0.965577427738 6.85605380155e-05   0.960773575542 9.16966334281e-05   0.957112163632 9.69289037178e-05   0.95481329984 9.72972717887e-05   0.953174463238 0.000113932990036   0.951859867892 0.000110335318637   0.951012277692 0.000119524903197   0.950398225948 0.000104486264964  
1.0 None None   None None   None None   None None   None None   None None   None None   0.988150018194 1.97601240602e-05   0.981976468488 3.7833696405e-05   0.9773206148 3.99893624044e-05   0.969734571638 6.14864768068e-05   0.963223252716 7.35264372856e-05   0.958013548672 9.67387920811e-05   0.954027798686 0.000110032184992   0.951532930724 0.000102546573975   0.949762320344 0.000118816132992   0.9483179668 0.000110937875481   0.947392998812 0.000123489359771   0.946733938882 0.000133411550827  
1.01 0.999214402004 4.99752744814e-07   0.999211118402 3.99668977985e-07   0.99920576808 4.87684516244e-07   0.999142369576 7.62001225733e-07   0.998766957328 2.36097026669e-06   0.997713334372 5.41829526973e-06   0.994647905276 1.1590269114e-05   0.987449429516 2.63119362202e-05   0.980873769256 3.45713315918e-05   0.97590251225 4.05760742332e-05   0.967719837162 6.21363100789e-05   0.960706913586 7.79635007244e-05   0.955068394126 9.71065341904e-05   0.950763513106 0.00012271238525   0.948024848444 0.000113460633802   0.946093855426 0.000126121806324   0.944501064894 0.0001240417253   0.943501755476 0.000127761785516   0.942771811794 0.000138108390023  
1.02 None None   None None   None None   None None   None None   None None   None None   0.986718570148 2.54187788636e-05   0.979714649126 4.15720074788e-05   0.97438698171 4.36734738579e-05   0.965604474238 7.4800530894e-05   0.958023365284 7.812853444e-05   0.951898658904 0.000118490922264   0.947213041692 0.0001255364424   0.944253459992 0.000125222078872   0.942124996164 0.000148075968543   0.940386545042 0.000133427062775   0.939309571066 0.000146726720412   0.938496713702 0.000148544665738  
1.03 None None   None None   None None   None None   None None   None None   None None   0.98594845694 2.76699105636e-05   0.978504449656 4.42913772895e-05   0.972803643626 4.54029308841e-05   0.96335256715 7.0882574795e-05   0.95516496175 9.66906238269e-05   0.948520560974 0.000122804511318   0.943429559546 0.000157149972055   0.94019934345 0.000140885489366   0.937867720318 0.000153456693977   0.936002346076 0.000154801277801   0.93478183461 0.000171939214803   0.933880319406 0.000164251322025  
1.04 0.999001821962 4.4560666916e-07   0.998997608852 4.91838155346e-07   0.99899188473 5.85231562274e-07   0.998915418972 8.74367936271e-07   0.998470581128 2.91714216809e-06   0.99723087963 5.91556910828e-06   0.993645246518 1.59947302245e-05   0.985151992674 2.66116096357e-05   0.977232000548 4.41103941697e-05   0.971126196194 4.87139291251e-05   0.960969188732 7.98884942753e-05   0.952109507944 0.000102222542563   0.944907062754 0.000124693556096   0.939361805864 0.00015483096596   0.935814257034 0.000159198625038   0.933279326306 0.000166507966939   0.93123374439 0.000150008258163   0.929883788844 0.000190648083534   0.9288670628 0.000172460002031  
1.05 None None   None None   None None   None None   None None   None None   None None   0.984313664608 3.12872407817e-05   0.975882286822 4.67392559943e-05   0.969356501654 4.78393211531e-05   0.958440197686 7.8960183238e-05   0.94885511747 0.000110921959307   0.941041464488 0.000141067717762   0.934993548068 0.000172857681895   0.931099661224 0.000178845397747   0.92832228844 0.000191743393192   0.926019281764 0.000185774910312   0.92455876892 0.000193847495707   0.92346515689 0.000239885962177  
1.06 None None   None None   None None   None None   None None   None None   None None   0.983429112836 3.07563786201e-05   0.9744822904 5.40473860219e-05   0.967491796392 5.87978012256e-05   0.955743287782 8.74050950146e-05   0.945378392582 0.000124257378388   0.93687380261 0.000156314152597   0.930282942544 0.000185491411577   0.926015830894 0.000189976011646   0.922937999442 0.000207884791266   0.920429584676 0.000173240012259   0.918807385316 0.000225284472488   0.917566947274 0.000230837162902  
1.07 0.998747911996 5.50948763777e-07   0.998742535058 5.90255072728e-07   0.998735780418 6.69533893253e-07   0.99864462933 9.78202482706e-07   0.99812294161 3.32193267329e-06   0.996674113516 7.7485351796e-06   0.992499156314 1.62997362598e-05   0.982516555938 3.44571837409e-05   0.972997257134 5.34039492981e-05   0.965523135344 5.66665652449e-05   0.952889807386 9.03673942344e-05   0.94166363142 0.000129484585423   0.932398057042 0.000173743360994   0.925175636908 0.000207612483417   0.920499048076 0.000185874573782   0.917090744352 0.000226738782922   0.91427848665 0.00019445626467   0.91249275052 0.000228365049285   0.91112656818 0.000237577830519  
1.08 None None   None None   None None   None None   None None   None None   None None   0.981559098228 3.62068242932e-05   0.971447407196 5.43495561593e-05   0.963452179132 6.75883882228e-05   0.949846418978 0.000103538391238   0.937684205304 0.000142019692062   0.927601052202 0.000192819040172   0.919627621892 0.000205329504043   0.9144452109 0.000221702329811   0.910686122448 0.000246069910889   0.907633698798 0.000234237624757   0.905589726782 0.000265532941763   0.904078917836 0.000263155094948  
1.09 None None   None None   None None   None None   None None   None None   None None   0.980553577166 3.68010517244e-05   0.969821657394 5.8170645385e-05   0.961275497254 7.0355999398e-05   0.946627201564 0.000110234754019   0.933417518536 0.000156425745959   0.922382953866 0.000208343681173   0.913616082594 0.000254744760513   0.907891882832 0.000248017575444   0.903704224788 0.000273376943057   0.900294956278 0.000255013426461   0.898010555328 0.000297633680862   0.896270155144 0.000302643817171  
1.1 0.998447396806 6.17134504126e-07   0.998441066354 6.6869372772e-07   0.998430537706 5.83660587494e-07   0.998325002786 1.15888481092e-06   0.997713810196 3.73100925816e-06   0.996035642062 7.76651174221e-06   0.991200728544 1.85752289487e-05   0.979510376406 3.48190041654e-05   0.968117659946 5.72259548468e-05   0.958969018292 7.27103297671e-05   0.943169801 0.000132869294854   0.928819582868 0.000168633004798   0.916743365288 0.000221306919488   0.907068281048 0.000266252367918   0.900742406498 0.00027588599646   0.89602287112 0.000319699910905   0.892241479892 0.000310971314939   0.88956510071 0.000341679643072   0.88766803364 0.000356409965109  
1.11 None None   None None   None None   None None   None None   None None   None None   0.978415389378 3.9489082576e-05   0.966315881674 7.03468570486e-05   0.95652554643 7.31145418438e-05   0.939535147158 0.000120479308434   0.923908938984 0.000180087891513   0.910614237828 0.000248011262586   0.899891802854 0.000318054436255   0.892802171852 0.000278609865256   0.887551833882 0.000345882799934   0.883246273902 0.000317227151191   0.8802870402 0.000351281091625   0.878070411798 0.000343234573712  
1.12 None None   None None   None None   None None   None None   None None   None None   0.977276398244 4.3475234051e-05   0.964426428846 7.05111031769e-05   0.95394897444 7.94442700125e-05   0.935590389062 0.000135042045251   0.918584350532 0.000188021139844   0.903944918836 0.000265519613286   0.892055996324 0.000327743101149   0.884074844086 0.000327990588583   0.878114741822 0.000400011796399   0.873231639318 0.000348450103439   0.86978447804 0.000444397060611   0.867224188978 0.00039636572591  
1.13 0.998092956976 6.93512099991e-07   0.998086393178 7.5706105535e-07   0.998075386662 7.85142014981e-07   0.997951303534 1.32804375862e-06   0.997240886834 4.59149716827e-06   0.995303104396 9.49214914772e-06   0.989728664906 2.10676718373e-05   0.976083104808 4.5336774004e-05   0.96244492034 7.0383394227e-05   0.951241942472 8.45273068729e-05   0.93143801044 0.000136012046906   0.912803368348 0.000199257035895   0.896645993442 0.000307660869608   0.883355902128 0.000366970838473   0.874367088308 0.000355859994461   0.867518798712 0.00045669006681   0.861928631828 0.00041972814819   0.857989123976 0.000481459812485   0.854918691496 0.000543611150428  
1.14 None None   None None   None None   None None   None None   None None   None None   0.974848825318 4.74732986774e-05   0.960369542652 7.83670543729e-05   0.948357780594 9.26721712982e-05   0.926951691648 0.000153879460838   0.906582740052 0.000225356726182   0.888647250336 0.000323033723774   0.87364528058 0.000408017235109   0.863398473094 0.000457556057522   0.855557080226 0.000520023971363   0.849015755356 0.000478826694916   0.84440715423 0.000600438041777   0.840807586934 0.000678326869356  
