# Je vier Spalten beschreiben ein Sigma: g, xi, gFehler, xiFehler
# Sigma:  0.0 0.5 1.0
None 1.0 None 0.0  None 1.0 None 0.0  None 1.0 None 0.0  
None None None None  None -0.00383136352999 None 0.00610243771785  None 0.00784388936837 None 0.00469313153572  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
0.0764989893614 0.0464856937923 0.000851340780973 0.00424449346067  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.0029104124404 None 0.00730865969902  None 0.00665617033703 None 0.00542913491189  
None None None None  None None None None  None None None None  
0.0656443398579 0.0295791838058 0.00103372853095 0.00518834233527  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
0.0591753284094 0.0252916365267 0.000932474426908 0.00648525234855  None 0.00454092161112 None 0.00574608747595  None 0.00305244378705 None 0.00514899493285  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.0265884660363 None 0.0043675867218  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None -0.0016921341322 None 0.00664951672269  None -0.00331796486815 None 0.00522688928737  
None None None None  None None None None  None None None None  
None 0.00759952687802 None 0.00513491920583  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.00347381206673 None 0.0075437787534  None 0.0075706828755 None 0.00706645771109  
None 0.0186098184836 None 0.00553511820988  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.012043036411 None 0.00528178047197  None None None None  None None None None  
None None None None  None 0.00137552731844 None 0.00546329938549  None 0.00547707280718 None 0.00585902281512  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.0133416432034 None 0.00468948438184  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None -0.000168055770768 None 0.00622698146596  None 0.00197924357378 None 0.00455322573491  
None None None None  None None None None  None None None None  
None 0.015148970439 None 0.00431173953948  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.0153259181572 None 0.00536174853265  None 0.00344971645535 None 0.00563464189268  None 0.00108909211684 None 0.00538553094723  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.0101585522256 None 0.00556588261567  None None None None  None None None None  
None None None None  None 0.00507072186671 None 0.00809022945343  None 0.00346663537207 None 0.00702649476909  
None 0.0065684402111 None 0.00716380335364  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.000135904923646 None 0.00532722244595  None -0.000377262341155 None 0.00614381413256  
None 0.00268597107588 None 0.00438057462405  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.00703401461116 None 0.00422630653752  None None None None  None None None None  
None None None None  None 0.00247156960763 None 0.00589222446237  None 0.00478236073175 None 0.00666470335115  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.00349890556339 None 0.00687465280235  None None None None  None None None None  
None None None None  None 0.00104387490559 None 0.00546468828151  None 0.00676296081901 None 0.00811801515886  
